No;City;Type
1;Адыгейск;Малый
2;Майкоп;Большой
3;Горно-Алтайск;Средний
4;Алейск;Малый
5;Барнаул;Крупнейший
6;Белокуриха;Малый
7;Бийск;Большой
8;Горняк;Малый
9;Заринск;Малый
10;Змеиногорск;Малый
11;Камень-на-Оби;Малый
12;Новоалтайск;Средний
13;Рубцовск;Большой
14;Славгород;Малый
15;Яровое;Малый
16;Белогорск;Средний
17;Благовещенск;Большой
18;Завитинск;Малый
19;Зея;Малый
20;Райчихинск;Малый
21;Свободный;Средний
22;Сковородино;Малый
23;Тында;Малый
24;Шимановск;Малый
25;Архангельск;Крупный
26;Вельск;Малый
27;Каргополь;Малый
28;Коряжма;Малый
29;Котлас;Средний
30;Мезень;Малый
31;Мирный;Малый
32;Новодвинск;Малый
33;Няндома;Малый
34;Онега;Малый
35;Северодвинск;Большой
36;Сольвычегодск;Малый
37;Шенкурск;Малый
38;Астрахань;Крупнейший
39;Ахтубинск;Малый
40;Знаменск;Малый
41;Камызяк;Малый
42;Нариманов;Малый
43;Харабали;Малый
44;Агидель;Малый
45;Баймак;Малый
46;Белебей;Средний
47;Белорецк;Средний
48;Бирск;Малый
49;Благовещенск;Малый
50;Давлеканово;Малый
51;Дюртюли;Малый
52;Ишимбай;Средний
53;Кумертау;Средний
54;Межгорье;Малый
55;Мелеуз;Средний
56;Нефтекамск;Большой
57;Октябрьский;Большой
58;Салават;Большой
59;Сибай;Средний
60;Стерлитамак;Крупный
61;Туймазы;Средний
62;Уфа;Миллионник
63;Учалы;Малый
64;Янаул;Малый
65;Алексеевка;Малый
66;Белгород;Крупный
67;Бирюч;Малый
68;Валуйки;Малый
69;Грайворон;Малый
70;Губкин;Средний
71;Короча;Малый
72;Новый Оскол;Малый
73;Старый Оскол;Большой
74;Строитель;Малый
75;Шебекино;Малый
76;Брянск;Крупный
77;Дятьково;Малый
78;Жуковка;Малый
79;Злынка;Малый
80;Карачев;Малый
81;Клинцы;Средний
82;Мглин;Малый
83;Новозыбков;Малый
84;Почеп;Малый
85;Севск;Малый
86;Сельцо;Малый
87;Стародуб;Малый
88;Сураж;Малый
89;Трубчевск;Малый
90;Унеча;Малый
91;Фокино;Малый
92;Бабушкин;Малый
93;Гусиноозёрск;Малый
94;Закаменск;Малый
95;Кяхта;Малый
96;Северобайкальск;Малый
97;Улан-Удэ;Крупный
98;Александров;Средний
99;Владимир;Крупный
100;Вязники;Малый
101;Гороховец;Малый
102;Гусь-Хрустальный;Средний
103;Камешково;Малый
104;Карабаново;Малый
105;Киржач;Малый
106;Ковров;Большой
107;Кольчугино;Малый
108;Костерёво;Малый
109;Курлово;Малый
110;Лакинск;Малый
111;Меленки;Малый
112;Муром;Большой
113;Петушки;Малый
114;Покров;Малый
115;Радужный;Малый
116;Собинка;Малый
117;Струнино;Малый
118;Судогда;Малый
119;Суздаль;Малый
120;Юрьев-Польский;Малый
121;Волгоград;Миллионник
122;Волжский;Крупный
123;Дубовка;Малый
124;Жирновск;Малый
125;Калач-на-Дону;Малый
126;Камышин;Большой
127;Котельниково;Малый
128;Котово;Малый
129;Краснослободск;Малый
130;Ленинск;Малый
131;Михайловка;Средний
132;Николаевск;Малый
133;Новоаннинский;Малый
134;Палласовка;Малый
135;Петров Вал;Малый
136;Серафимович;Малый
137;Суровикино;Малый
138;Урюпинск;Малый
139;Фролово;Малый
140;Бабаево;Малый
141;Белозерск;Малый
142;Великий Устюг;Малый
143;Вологда;Крупный
144;Вытегра;Малый
145;Грязовец;Малый
146;Кадников;Малый
147;Кириллов;Малый
148;Красавино;Малый
149;Никольск;Малый
150;Сокол;Малый
151;Тотьма;Малый
152;Устюжна;Малый
153;Харовск;Малый
154;Череповец;Крупный
155;Бобров;Малый
156;Богучар;Малый
157;Борисоглебск;Средний
158;Бутурлиновка;Малый
159;Воронеж;Крупнейший
160;Калач;Малый
161;Лиски;Средний
162;Нововоронеж;Малый
163;Новохопёрск;Малый
164;Острогожск;Малый
165;Павловск;Малый
166;Поворино;Малый
167;Россошь;Средний
168;Семилуки;Малый
169;Эртиль;Малый
170;Буйнакск;Средний
171;Дагестанские Огни;Малый
172;Дербент;Большой
173;Избербаш;Средний
174;Каспийск;Большой
175;Кизилюрт;Малый
176;Кизляр;Малый
177;Махачкала;Крупнейший
178;Хасавюрт;Большой
179;Южно-Сухокумск;Малый
180;Биробиджан;Средний
181;Облучье;Малый
182;Балей;Малый
183;Борзя;Малый
184;Краснокаменск;Средний
185;Могоча;Малый
186;Нерчинск;Малый
187;Петровск-Забайкальский;Малый
188;Сретенск;Малый
189;Хилок;Малый
190;Чита;Крупный
191;Шилка;Малый
192;Вичуга;Малый
193;Гаврилов Посад;Малый
194;Заволжск;Малый
195;Иваново;Крупный
196;Кинешма;Средний
197;Комсомольск;Малый
198;Кохма;Малый
199;Наволоки;Малый
200;Плёс;Малый
201;Приволжск;Малый
202;Пучеж;Малый
203;Родники;Малый
204;Тейково;Малый
205;Фурманов;Малый
206;Шуя;Средний
207;Южа;Малый
208;Юрьевец;Малый
209;Карабулак;Малый
210;Магас;Малый
211;Малгобек;Малый
212;Назрань;Средний
213;Алзамай;Малый
214;Ангарск;Большой
215;Байкальск;Малый
216;Бирюсинск;Малый
217;Бодайбо;Малый
218;Братск;Большой
219;Вихоревка;Малый
220;Железногорск-Илимский;Малый
221;Зима;Малый
222;Иркутск;Крупнейший
223;Киренск;Малый
224;Нижнеудинск;Малый
225;Саянск;Малый
226;Свирск;Малый
227;Слюдянка;Малый
228;Тайшет;Малый
229;Тулун;Малый
230;Усолье-Сибирское;Средний
231;Усть-Илимск;Средний
232;Усть-Кут;Малый
233;Черемхово;Средний
234;Шелехов;Малый
235;Баксан;Малый
236;Майский;Малый
237;Нальчик;Большой
238;Нарткала;Малый
239;Прохладный;Средний
240;Терек;Малый
241;Тырныауз;Малый
242;Чегем;Малый
243;Багратионовск;Малый
244;Балтийск;Малый
245;Гвардейск;Малый
246;Гурьевск;Малый
247;Гусев;Малый
248;Зеленоградск;Малый
249;Калининград;Крупный
250;Краснознаменск;Малый
251;Ладушкин;Малый
252;Мамоново;Малый
253;Неман;Малый
254;Нестеров;Малый
255;Озёрск;Малый
256;Пионерский;Малый
257;Полесск;Малый
258;Правдинск;Малый
259;Светлогорск;Малый
260;Светлый;Малый
261;Славск;Малый
262;Советск;Малый
263;Черняховск;Малый
264;Приморск;Малый
265;Городовиковск;Малый
266;Лагань;Малый
267;Элиста;Большой
268;Балабаново;Малый
269;Белоусово;Малый
270;Боровск;Малый
271;Ермолино;Малый
272;Жиздра;Малый
273;Жуков;Малый
274;Калуга;Крупный
275;Киров;Малый
276;Козельск;Малый
277;Кондрово;Малый
278;Кремёнки;Малый
279;Людиново;Малый
280;Малоярославец;Малый
281;Медынь;Малый
282;Мещовск;Малый
283;Мосальск;Малый
